shape,n,run,phase,ms,identity_size,identity_capacity,type_slots,member_size,member_capacity,typeref_size,private_bytes,working_set,peak_working_set
aggregate,1024,0,parse,0.142000,2,66,1,1024,1152,22,1114112,5513216,5533696
aggregate,1024,0,publish_commit,0.142400,2,66,1,1024,1152,22,1138688,5603328,5603328
aggregate,1024,1,parse,0.131200,2,66,1,1024,1152,22,1122304,5615616,5660672
aggregate,1024,1,publish_commit,0.104500,2,66,1,1024,1152,22,1122304,5615616,5660672
aggregate,1024,2,parse,0.134600,2,66,1,1024,1152,22,1130496,5615616,5660672
aggregate,1024,2,publish_commit,0.092700,2,66,1,1024,1152,22,1130496,5615616,5660672
aggregate,1024,3,parse,0.129200,2,66,1,1024,1152,22,1155072,5623808,5660672
aggregate,1024,3,publish_commit,0.091300,2,66,1,1024,1152,22,1155072,5623808,5660672
enum,1024,0,parse,0.864200,2,66,1,0,0,22,1183744,5672960,5672960
enum,1024,0,publish_commit,0.098100,2,66,1,0,0,22,1183744,5672960,5672960
enum,1024,1,parse,0.828000,2,66,1,0,0,22,1204224,5672960,5672960
enum,1024,1,publish_commit,0.084100,2,66,1,0,0,22,1204224,5672960,5672960
enum,1024,2,parse,0.825700,2,66,1,0,0,22,1204224,5672960,5672960
enum,1024,2,publish_commit,0.083300,2,66,1,0,0,22,1204224,5672960,5672960
enum,1024,3,parse,0.823800,2,66,1,0,0,22,1204224,5672960,5672960
enum,1024,3,publish_commit,0.081500,2,66,1,0,0,22,1204224,5672960,5672960
aggregate,4096,0,parse,0.543500,2,66,1,4096,4608,22,2433024,6475776,6627328
aggregate,4096,0,publish_commit,0.410900,2,66,1,4096,4608,22,2433024,6475776,6627328
aggregate,4096,1,parse,0.561800,2,66,1,4096,4608,22,2211840,6483968,6627328
aggregate,4096,1,publish_commit,0.417000,2,66,1,4096,4608,22,2211840,6483968,6627328
aggregate,4096,2,parse,0.472000,2,66,1,4096,4608,22,2211840,6512640,6782976
aggregate,4096,2,publish_commit,0.275200,2,66,1,4096,4608,22,2211840,6512640,6782976
aggregate,4096,3,parse,0.547000,2,66,1,4096,4608,22,2265088,6615040,6782976
aggregate,4096,3,publish_commit,0.512200,2,66,1,4096,4608,22,2265088,6615040,6782976
enum,4096,0,parse,10.194800,2,66,1,0,0,22,2662400,6692864,6782976
enum,4096,0,publish_commit,0.332600,2,66,1,0,0,22,2662400,6692864,6782976
enum,4096,1,parse,10.995400,2,66,1,0,0,22,2629632,6631424,6782976
enum,4096,1,publish_commit,0.501900,2,66,1,0,0,22,2629632,6631424,6782976
enum,4096,2,parse,10.332300,2,66,1,0,0,22,2629632,6631424,6782976
enum,4096,2,publish_commit,0.283500,2,66,1,0,0,22,2629632,6631424,6782976
enum,4096,3,parse,10.208800,2,66,1,0,0,22,2629632,6631424,6782976
enum,4096,3,publish_commit,0.313900,2,66,1,0,0,22,2629632,6631424,6782976
aggregate,16384,0,parse,2.471000,2,66,1,16384,18432,22,5931008,9883648,10661888
aggregate,16384,0,publish_commit,1.436000,2,66,1,16384,18432,22,5931008,9883648,10661888
aggregate,16384,1,parse,1.665200,2,66,1,16384,18432,22,5947392,9986048,11005952
aggregate,16384,1,publish_commit,1.275600,2,66,1,16384,18432,22,5947392,9986048,11005952
aggregate,16384,2,parse,1.576300,2,66,1,16384,18432,22,5947392,9977856,11005952
aggregate,16384,2,publish_commit,1.376800,2,66,1,16384,18432,22,5947392,9977856,11005952
aggregate,16384,3,parse,1.842600,2,66,1,16384,18432,22,5947392,9977856,11005952
aggregate,16384,3,publish_commit,1.276200,2,66,1,16384,18432,22,5947392,9977856,11005952
enum,16384,0,parse,133.501900,2,66,1,0,0,22,6565888,10579968,11005952
enum,16384,0,publish_commit,1.201200,2,66,1,0,0,22,6565888,10579968,11005952
enum,16384,1,parse,141.643500,2,66,1,0,0,22,7147520,10596352,11075584
