shape,n,run,phase,ms,identity_size,identity_capacity,type_slots,member_size,member_capacity,typeref_size,private_bytes,working_set,peak_working_set
enum,16384,1,publish_commit,1.082700,2,66,1,0,0,22,7147520,10596352,11075584
enum,16384,2,parse,138.294200,2,66,1,0,0,22,6852608,10571776,11075584
enum,16384,2,publish_commit,1.356000,2,66,1,0,0,22,6852608,10571776,11075584
enum,16384,3,parse,134.630400,2,66,1,0,0,22,6860800,10612736,11075584
enum,16384,3,publish_commit,1.013100,2,66,1,0,0,22,6860800,10612736,11075584
fan_out,512,0,commit,0.013600,515,711,513,1024,1152,534,1396736,5820416,11075584
fan_out,512,1,commit,0.012400,515,711,513,1536,1728,534,1343488,5824512,11075584
fan_out,512,2,commit,0.014200,515,711,513,2048,2304,534,1343488,5832704,11075584
fan_out,512,3,commit,0.014000,515,711,513,2560,2880,534,1396736,5840896,11075584
fan_in,512,0,commit,0.170100,517,711,514,1024,1152,535,2375680,5939200,11075584
fan_in,512,1,commit,0.176800,517,711,514,1536,1728,535,1392640,5877760,11075584
fan_in,512,2,commit,0.162300,517,711,514,2048,2304,535,1507328,5967872,11075584
fan_in,512,3,commit,0.168100,517,711,514,2560,2880,535,1507328,5992448,11075584
fan_out,2048,0,commit,0.044500,2051,2398,2049,4096,4608,2070,2895872,7024640,11075584
fan_out,2048,1,commit,0.043100,2051,2398,2049,6144,6912,2070,2691072,7053312,11075584
fan_out,2048,2,commit,0.045900,2051,2398,2049,8192,9216,2070,2912256,7090176,11075584
fan_out,2048,3,commit,0.049200,2051,2398,2049,10240,11520,2070,2859008,7122944,11075584
fan_in,2048,0,commit,0.639400,2053,2398,2050,4096,4608,2071,2445312,6881280,11075584
fan_in,2048,1,commit,0.663500,2053,2398,2050,6144,6912,2071,2523136,6938624,11075584
fan_in,2048,2,commit,0.656200,2053,2398,2050,8192,9216,2071,2535424,6950912,11075584
fan_in,2048,3,commit,0.715300,2053,2398,2050,10240,11520,2071,2576384,6967296,11075584
fan_out,8192,0,commit,0.131600,8195,12138,8193,16384,18432,8214,8097792,11567104,12931072
fan_out,8192,1,commit,0.159400,8195,12138,8193,24576,27648,8214,7979008,11476992,12931072
fan_out,8192,2,commit,0.209000,8195,12138,8193,32768,36864,8214,8318976,11739136,12931072
fan_out,8192,3,commit,0.193300,8195,12138,8193,40960,46080,8214,8253440,11857920,12931072
fan_in,8192,0,commit,2.684300,8197,12138,8194,16384,18432,8215,6930432,11026432,12931072
fan_in,8192,1,commit,2.578400,8197,12138,8194,24576,27648,8215,7012352,11063296,12931072
fan_in,8192,2,commit,2.541200,8197,12138,8194,32768,36864,8215,7131136,11030528,12931072
fan_in,8192,3,commit,2.560700,8197,12138,8194,40960,46080,8215,6930432,11018240,12931072
fan_out,16384,0,commit,0.275200,16387,18435,16385,32768,36864,16406,13799424,17420288,20054016
fan_out,16384,1,commit,0.335200,16387,18435,16385,49152,55296,16406,14139392,17649664,20054016
fan_out,16384,2,commit,0.354300,16387,18435,16385,65536,73728,16406,14733312,18284544,20054016
fan_out,16384,3,commit,0.354500,16387,18435,16385,81920,92160,16406,14950400,18542592,20054016
fan_in,16384,0,commit,5.012700,16389,18437,16386,32768,36864,16407,11563008,15421440,20054016
fan_in,16384,1,commit,5.085600,16389,18437,16386,49152,55296,16407,11931648,15601664,20054016
fan_in,16384,2,commit,5.297400,16389,18437,16386,65536,73728,16407,12562432,15777792,20054016
fan_in,16384,3,commit,5.223200,16389,18437,16386,81920,92160,16407,12201984,15814656,20054016
churn,128,0,g0,0.097800,2,66,1,128,192,22,3182592,5828608,20054016
churn,128,100,delta,0.008000,2,66,1,12928,13536,22,1486848,5951488,20054016
churn,128,500,delta,0.008600,2,66,1,64128,65232,22,3108864,7536640,20054016
churn,128,501,g0,0.086800,2,66,1,128,192,22,3108864,7536640,20054016
churn,128,502,g0,0.043100,2,66,1,128,192,22,3108864,7536640,20054016
churn,128,503,g0,0.035000,2,66,1,128,192,22,3108864,7536640,20054016
type_churn,8,0,g0,0.063500,2,66,1,0,0,22,1167360,5648384,20054016
type_churn,8,100,delta,0.002500,9,66,101,0,0,122,1187840,5660672,20054016
type_churn,8,500,delta,0.002500,9,66,501,0,0,522,1277952,5758976,20054016
type_churn,8,501,g0,0.054000,9,73,1,0,0,22,1216512,5697536,20054016
type_churn,8,502,g0,0.033100,9,73,1,0,0,22,1224704,5697536,20054016
type_churn,8,503,g0,0.028800,9,73,1,0,0,22,1224704,5697536,20054016
