shape,n,run,phase,ms,identity_size,identity_capacity,type_slots,member_size,member_capacity,typeref_size,private_bytes,working_set,peak_working_set
aggregate,1024,0,parse,0.138200,2,66,1,1024,1152,22,1130496,5521408,5525504
aggregate,1024,0,publish_commit,0.108700,2,66,1,1024,1152,22,1130496,5611520,5611520
aggregate,1024,1,parse,0.142100,2,66,1,1024,1152,22,1163264,5615616,5652480
aggregate,1024,1,publish_commit,0.110000,2,66,1,1024,1152,22,1163264,5615616,5652480
aggregate,1024,2,parse,0.141500,2,66,1,1024,1152,22,1134592,5627904,5664768
aggregate,1024,2,publish_commit,0.119400,2,66,1,1024,1152,22,1134592,5627904,5664768
aggregate,1024,3,parse,0.144800,2,66,1,1024,1152,22,1134592,5627904,5664768
aggregate,1024,3,publish_commit,0.116100,2,66,1,1024,1152,22,1134592,5627904,5664768
enum,1024,0,parse,0.826200,2,66,1,0,0,22,1187840,5664768,5664768
enum,1024,0,publish_commit,0.097500,2,66,1,0,0,22,1187840,5664768,5664768
enum,1024,1,parse,0.795300,2,66,1,0,0,22,1187840,5681152,5681152
enum,1024,1,publish_commit,0.086800,2,66,1,0,0,22,1187840,5681152,5681152
enum,1024,2,parse,0.833500,2,66,1,0,0,22,1187840,5677056,5681152
enum,1024,2,publish_commit,0.079200,2,66,1,0,0,22,1187840,5677056,5681152
enum,1024,3,parse,0.838400,2,66,1,0,0,22,1187840,5677056,5681152
enum,1024,3,publish_commit,0.077900,2,66,1,0,0,22,1187840,5677056,5681152
aggregate,4096,0,parse,0.545200,2,66,1,4096,4608,22,2240512,6541312,6692864
aggregate,4096,0,publish_commit,0.418000,2,66,1,4096,4608,22,2240512,6541312,6692864
aggregate,4096,1,parse,0.552900,2,66,1,4096,4608,22,2334720,6492160,6692864
aggregate,4096,1,publish_commit,0.418900,2,66,1,4096,4608,22,2334720,6492160,6692864
aggregate,4096,2,parse,0.575600,2,66,1,4096,4608,22,2220032,6557696,6828032
aggregate,4096,2,publish_commit,0.319600,2,66,1,4096,4608,22,2220032,6557696,6828032
aggregate,4096,3,parse,0.483800,2,66,1,4096,4608,22,2220032,6557696,6828032
aggregate,4096,3,publish_commit,0.300500,2,66,1,4096,4608,22,2220032,6557696,6828032
enum,4096,0,parse,11.157900,2,66,1,0,0,22,2318336,6639616,6844416
enum,4096,0,publish_commit,0.339400,2,66,1,0,0,22,2318336,6639616,6844416
enum,4096,1,parse,10.174700,2,66,1,0,0,22,2318336,6639616,6844416
enum,4096,1,publish_commit,0.337200,2,66,1,0,0,22,2318336,6639616,6844416
enum,4096,2,parse,10.698500,2,66,1,0,0,22,2318336,6639616,6844416
enum,4096,2,publish_commit,0.407600,2,66,1,0,0,22,2318336,6639616,6844416
enum,4096,3,parse,11.076400,2,66,1,0,0,22,2535424,6656000,6844416
enum,4096,3,publish_commit,0.366400,2,66,1,0,0,22,2535424,6656000,6844416
aggregate,16384,0,parse,1.622400,2,66,1,16384,18432,22,5931008,9785344,10600448
