shape,n,run,phase,ms,identity_size,identity_capacity,type_slots,member_size,member_capacity,typeref_size,private_bytes,working_set,peak_working_set
aggregate,1024,0,parse,0.148500,2,66,1,1024,1152,22,1118208,5513216,5521408
aggregate,1024,0,publish_commit,0.144100,2,66,1,1024,1152,22,1118208,5603328,5603328
aggregate,1024,1,parse,0.137400,2,66,1,1024,1152,22,1118208,5611520,5677056
aggregate,1024,1,publish_commit,0.098500,2,66,1,1024,1152,22,1118208,5611520,5677056
aggregate,1024,2,parse,0.135200,2,66,1,1024,1152,22,1118208,5619712,5681152
aggregate,1024,2,publish_commit,0.096400,2,66,1,1024,1152,22,1118208,5619712,5681152
aggregate,1024,3,parse,0.132700,2,66,1,1024,1152,22,1126400,5627904,5681152
aggregate,1024,3,publish_commit,0.091900,2,66,1,1024,1152,22,1126400,5627904,5681152
enum,1024,0,parse,0.870700,2,66,1,0,0,22,1175552,5668864,5681152
enum,1024,0,publish_commit,0.085300,2,66,1,0,0,22,1175552,5668864,5681152
enum,1024,1,parse,0.896000,2,66,1,0,0,22,1196032,5685248,5685248
enum,1024,1,publish_commit,0.102000,2,66,1,0,0,22,1196032,5685248,5685248
enum,1024,2,parse,0.859600,2,66,1,0,0,22,1196032,5681152,5685248
enum,1024,2,publish_commit,0.097400,2,66,1,0,0,22,1196032,5681152,5685248
enum,1024,3,parse,0.862700,2,66,1,0,0,22,1196032,5681152,5685248
enum,1024,3,publish_commit,0.096200,2,66,1,0,0,22,1196032,5681152,5685248
aggregate,4096,0,parse,0.589000,2,66,1,4096,4608,22,2244608,6483968,6729728
aggregate,4096,0,publish_commit,0.424500,2,66,1,4096,4608,22,2244608,6483968,6729728
aggregate,4096,1,parse,0.556300,2,66,1,4096,4608,22,2187264,6479872,6754304
aggregate,4096,1,publish_commit,0.432100,2,66,1,4096,4608,22,2187264,6479872,6754304
aggregate,4096,2,parse,0.521900,2,66,1,4096,4608,22,2187264,6479872,6770688
aggregate,4096,2,publish_commit,0.336700,2,66,1,4096,4608,22,2187264,6479872,6770688
aggregate,4096,3,parse,0.553500,2,66,1,4096,4608,22,2170880,6467584,6770688
