shape,n,run,phase,ms,identity_size,identity_capacity,type_slots,member_size,member_capacity,typeref_size,private_bytes,working_set,peak_working_set
aggregate,1024,0,parse,0.134400,2,66,1,1024,1152,22,1138688,5525504,5554176
aggregate,1024,0,publish_commit,0.128500,2,66,1,1024,1152,22,1138688,5615616,5615616
aggregate,1024,1,parse,0.145000,2,66,1,1024,1152,22,1118208,5611520,5660672
aggregate,1024,1,publish_commit,0.118500,2,66,1,1024,1152,22,1118208,5611520,5660672
aggregate,1024,2,parse,0.142500,2,66,1,1024,1152,22,1134592,5619712,5660672
aggregate,1024,2,publish_commit,0.114200,2,66,1,1024,1152,22,1134592,5619712,5660672
aggregate,1024,3,parse,0.145100,2,66,1,1024,1152,22,1134592,5619712,5660672
aggregate,1024,3,publish_commit,0.118600,2,66,1,1024,1152,22,1134592,5619712,5660672
enum,1024,0,parse,0.847200,2,66,1,0,0,22,1187840,5660672,5660672
enum,1024,0,publish_commit,0.108400,2,66,1,0,0,22,1187840,5660672,5660672
enum,1024,1,parse,0.851200,2,66,1,0,0,22,1187840,5664768,5664768
enum,1024,1,publish_commit,0.097300,2,66,1,0,0,22,1187840,5664768,5664768
enum,1024,2,parse,0.864900,2,66,1,0,0,22,1187840,5668864,5668864
enum,1024,2,publish_commit,0.113900,2,66,1,0,0,22,1187840,5668864,5668864
enum,1024,3,parse,0.859300,2,66,1,0,0,22,1187840,5668864,5668864
enum,1024,3,publish_commit,0.092300,2,66,1,0,0,22,1187840,5668864,5668864
aggregate,4096,0,parse,0.412100,2,66,1,4096,4608,22,2207744,6541312,6688768
aggregate,4096,0,publish_commit,0.424100,2,66,1,4096,4608,22,2207744,6541312,6688768
aggregate,4096,1,parse,0.559100,2,66,1,4096,4608,22,2347008,6479872,6688768
aggregate,4096,1,publish_commit,0.424400,2,66,1,4096,4608,22,2347008,6479872,6688768
aggregate,4096,2,parse,0.502500,2,66,1,4096,4608,22,2195456,6541312,6815744
aggregate,4096,2,publish_commit,0.382500,2,66,1,4096,4608,22,2195456,6541312,6815744
aggregate,4096,3,parse,0.565600,2,66,1,4096,4608,22,2195456,6541312,6815744
aggregate,4096,3,publish_commit,0.383100,2,66,1,4096,4608,22,2195456,6541312,6815744
enum,4096,0,parse,10.998900,2,66,1,0,0,22,2297856,6692864,6881280
enum,4096,0,publish_commit,0.324500,2,66,1,0,0,22,2297856,6692864,6881280
enum,4096,1,parse,10.728600,2,66,1,0,0,22,2297856,6692864,6881280
enum,4096,1,publish_commit,0.452200,2,66,1,0,0,22,2297856,6692864,6881280
enum,4096,2,parse,10.936500,2,66,1,0,0,22,2297856,6688768,6881280
enum,4096,2,publish_commit,0.360600,2,66,1,0,0,22,2297856,6688768,6881280
enum,4096,3,parse,10.671700,2,66,1,0,0,22,2297856,6692864,6881280
enum,4096,3,publish_commit,0.300200,2,66,1,0,0,22,2297856,6692864,6881280
aggregate,16384,0,parse,1.954300,2,66,1,16384,18432,22,6242304,9949184,11206656
aggregate,16384,0,publish_commit,1.594600,2,66,1,16384,18432,22,6242304,9949184,11206656
aggregate,16384,1,parse,1.853900,2,66,1,16384,18432,22,5689344,9867264,11206656
aggregate,16384,1,publish_commit,1.350800,2,66,1,16384,18432,22,5689344,9867264,11206656
aggregate,16384,2,parse,1.975100,2,66,1,16384,18432,22,5951488,9920512,11206656
aggregate,16384,2,publish_commit,1.383400,2,66,1,16384,18432,22,5951488,9920512,11206656
aggregate,16384,3,parse,1.845300,2,66,1,16384,18432,22,6008832,9838592,11206656
aggregate,16384,3,publish_commit,1.298900,2,66,1,16384,18432,22,6008832,9838592,11206656
enum,16384,0,parse,135.777700,2,66,1,0,0,22,6721536,10571776,11206656
enum,16384,0,publish_commit,1.105300,2,66,1,0,0,22,6721536,10571776,11206656
enum,16384,1,parse,140.063200,2,66,1,0,0,22,6815744,10518528,11206656
enum,16384,1,publish_commit,1.003500,2,66,1,0,0,22,6815744,10518528,11206656
