sources,scenario,total_ms,acquisitions,fast_paths,content_reads,bytes_read,dirty,checked,affected,working_states,lex,parse,publish,reconciliation,config_ms,composition_ms,g0_prepare_ms,g0_io_ms,g0_apply_ms,g0_discovery_ms,g0_validate_ms,g0_semantic_ms,g0_publish_ms,g0_commit_ms,g0_cache_ms,g0_tracker_ms,runtime_attach_ms,io_open_sum_ms,io_observe_before_sum_ms,io_read_sum_ms,io_observe_after_sum_ms,io_hash_sum_ms,candidate_update_sum_ms,tx_source_prepare_ms,tx_string_prepare_ms,tx_graph_prepare_ms,tx_string_retention_ms,tx_string_compaction_ms,tx_contribution_prepare_ms,tx_source_publish_ms,tx_string_publish_ms,tx_contribution_publish_ms,tx_graph_publish_ms,graph_pending_member_resolution_ms,graph_live_typeref_validation_ms,graph_canonical_typeref_rebuild_ms,graph_string_validation_ms,graph_definition_scan_ms,graph_definition_materialization_ms,graph_rebuild_storage_ms,graph_dependency_index_ms,graph_final_prepare_ms
128,g0_initial,4.610100,128,0,128,3638,0,128,128,128,128,128,128,0,0.185400,0.084700,0.023800,2.296200,0.024400,0.090100,0.000800,1.355300,0.106800,0.065100,0.002100,0.245400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010600,0.004400,0.035400,0.001300,0.000100,0.008200,0.000700,0.000400,0.001900,0.001400,0.000100,0.001400,0.008000,0.001100,0.000500,0.010500,0.001700,0.000800,0.009600
128,g1_no_change,0.002000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
128,g2_modify_one,0.434100,1,0,1,49,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
512,g0_initial,6.122600,512,0,512,15560,0,512,512,512,512,512,512,0,0.403200,0.306400,0.106100,2.870900,0.110300,0.298600,0.002300,0.946200,0.274300,0.109200,0.001100,0.395600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018100,0.002900,0.054100,0.001300,0.000300,0.020400,0.000300,0.004100,0.006900,0.000200,0.000400,0.001200,0.017600,0.003900,0.002000,0.003000,0.002900,0.009100,0.012800
512,g1_no_change,0.001900,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
512,g2_modify_one,0.381900,1,0,1,49,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2048,g0_initial,18.236500,2048,0,2048,66338,0,2048,2048,2048,2048,2048,2048,0,1.445400,1.275500,0.365900,8.331400,0.406800,1.209800,0.018900,1.351300,1.111800,0.366200,0.002200,1.280700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065300,0.003300,0.187600,0.003900,0.000800,0.055000,0.000300,0.021800,0.027000,0.000600,0.001100,0.004000,0.040000,0.017500,0.008000,0.027300,0.015700,0.025000,0.043800
2048,g1_no_change,0.002000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2048,g2_modify_one,0.419900,1,0,1,51,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8192,g0_initial,69.270000,8192,0,8192,275251,0,8192,8192,8192,8192,8192,8192,0,5.294500,4.910600,1.410400,30.877700,1.574400,5.921800,0.149000,2.938400,4.518900,1.355700,0.009900,4.823700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.299200,0.005900,0.712900,0.015400,0.003100,0.148300,0.000400,0.047000,0.122400,0.000400,0.008100,0.015200,0.135500,0.135900,0.069000,0.070700,0.073300,0.053900,0.133100
