sources,scenario,total_ms,acquisitions,fast_paths,content_reads,bytes_read,dirty,checked,affected,working_states,lex,parse,publish,reconciliation,config_ms,composition_ms,g0_prepare_ms,g0_io_ms,g0_apply_ms,g0_discovery_ms,g0_validate_ms,g0_semantic_ms,g0_publish_ms,g0_commit_ms,g0_cache_ms,g0_tracker_ms,runtime_attach_ms,io_open_sum_ms,io_observe_before_sum_ms,io_read_sum_ms,io_observe_after_sum_ms,io_hash_sum_ms,candidate_update_sum_ms,tx_source_prepare_ms,tx_string_prepare_ms,tx_graph_prepare_ms,tx_string_retention_ms,tx_string_compaction_ms,tx_contribution_prepare_ms,tx_source_publish_ms,tx_string_publish_ms,tx_contribution_publish_ms,tx_graph_publish_ms,graph_pending_member_resolution_ms,graph_live_typeref_validation_ms,graph_canonical_typeref_rebuild_ms,graph_string_validation_ms,graph_definition_scan_ms,graph_definition_materialization_ms,graph_rebuild_storage_ms,graph_dependency_index_ms,graph_final_prepare_ms
128,g0_initial,4.174300,128,0,128,3638,0,128,128,128,128,128,128,0,0.185000,0.083000,0.020800,2.211300,0.033900,0.092100,0.001000,1.046900,0.094800,0.051300,0.002000,0.241800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008700,0.003600,0.025700,0.001000,0.000200,0.007700,0.000300,0.000300,0.001800,0.001300,0.000200,0.001300,0.006700,0.001400,0.000600,0.002000,0.001500,0.004400,0.006400
128,g1_no_change,0.002100,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
128,g2_modify_one,0.362900,1,0,1,49,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
512,g0_initial,7.297500,512,0,512,15560,0,512,512,512,512,512,512,0,0.400600,0.297400,0.239300,3.336900,0.113000,0.306100,0.002400,1.331600,0.298700,0.131500,0.002000,0.436900,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037400,0.004400,0.057200,0.001400,0.000200,0.018600,0.000500,0.003500,0.007100,0.000300,0.000400,0.001300,0.018100,0.004500,0.002300,0.006200,0.003200,0.006500,0.013300
512,g1_no_change,0.002200,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
512,g2_modify_one,0.421000,1,0,1,49,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2048,g0_initial,18.959500,2048,0,2048,66338,0,2048,2048,2048,2048,2048,2048,0,1.464000,1.246300,0.326100,8.891700,0.337700,1.383600,0.038000,1.136900,1.154700,0.424700,0.002900,1.252000,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.116600,0.002900,0.204800,0.004600,0.000800,0.052700,0.000300,0.011000,0.029900,0.000300,0.002000,0.004300,0.040100,0.044600,0.009500,0.010500,0.023600,0.023500,0.042000
2048,g1_no_change,0.002500,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2048,g2_modify_one,0.578000,1,0,1,51,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8192,g0_initial,74.411500,8192,0,8192,275251,0,8192,8192,8192,8192,8192,8192,0,5.527200,5.630000,1.516400,32.068400,1.612000,6.280300,0.121800,3.298200,5.212900,1.890300,0.009000,4.865800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.675700,0.003900,0.868500,0.019100,0.003000,0.151600,0.000400,0.044400,0.122300,0.000600,0.010900,0.015000,0.152500,0.189600,0.092500,0.112700,0.065700,0.072900,0.138500
8192,g1_no_change,0.002300,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8192,g2_modify_one,0.497300,1,0,1,51,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
